name,genres,popularity
Lil Jon,"['atl hip hop', 'crunk', 'dance pop', 'dirty south rap', 'old school atlanta hip hop', 'pop rap', 'southern hip hop', 'trap']",75
The Alchemist,"['alternative hip hop', 'drumless hip hop', 'hip hop', 'instrumental hip hop', 'west coast rap']",73
G Herbo,"['chicago drill', 'chicago rap', 'drill', 'trap']",71
Rich Homie Quan,"['atl hip hop', 'rap', 'southern hip hop', 'trap']",71
Papa Roach,"['alternative metal', 'nu metal', 'rap metal', 'rap rock', 'rock']",74
BabyTron,"['detroit hip hop', 'scam rap']",70
6LACK,"['atl hip hop', 'melodic rap', 'r&b', 'rap', 'trap']",74
A$AP Ferg,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",73
Pouya,"['cloud rap', 'dark trap', 'miami hip hop', 'underground hip hop']",71
Lil Darkie,"['glitchcore', 'meme rap']",70
La Santa Grifa,"['mexican hip hop', 'sad sierreno', 'tamaulipas rap']",77
Flo Milli,['viral rap'],73
RM,['k-rap'],79
Ice Cube,"['conscious hip hop', 'g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",75
Lil Tracy,"['cloud rap', 'melodic rap']",73
NAV,"['canadian hip hop', 'canadian trap', 'melodic rap', 'rap', 'trap']",73
Hanumankind,"['desi hip hop', 'indian underground rap', 'malayalam hip hop']",76
Shoreline Mafia,['cali rap'],69
Quevedo,"['rap canario', 'trap latino', 'urbano latino']",82
French Montana,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",76
Nas,"['conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']",74
Young Nudy,"['pluggnb', 'rap', 'southern hip hop', 'trap']",70
Wale,"['pop rap', 'r&b', 'rap', 'southern hip hop', 'trap']",71
Ms. Lauryn Hill,"['alternative r&b', 'conscious hip hop', 'hip hop', 'neo soul', 'new jersey rap', 'r&b']",74
bbno$,"['canadian hip hop', 'dark trap', 'meme rap']",74
Rich Amiri,['rage rap'],72
OHGEESY,['cali rap'],69
Upchurch,"['country rap', 'redneck']",67
Missy Elliott,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop rap', 'r&b', 'rap', 'urban contemporary', 'virginia hip hop']",72
Tech N9ne,"['detroit hip hop', 'kansas city hip hop', 'pop rap']",70
Rae Sremmurd,"['melodic rap', 'mississippi hip hop', 'pop rap', 'rap', 'trap']",72
Jay Rock,"['conscious hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",73
BoyWithUke,['sad rap'],73
B.o.B,"['atl hip hop', 'dance pop', 'pop rap', 'rap', 'southern hip hop']",74
Veeze,"['detroit hip hop', 'scam rap']",68
Pusha T,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'virginia hip hop']",72
Earl Sweatshirt,"['alternative hip hop', 'drumless hip hop', 'experimental hip hop', 'hip hop', 'rap', 'underground hip hop']",70
Diddy,"['dance pop', 'east coast hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap']",74
Beastie Boys,"['alternative rock', 'east coast hip hop', 'golden age hip hop', 'hip hop', 'old school hip hop', 'rap', 'rap rock', 'rock']",70
Mike Sherm,['cali rap'],67
Godsmack,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",69
DMX,"['detroit hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",72
Jamie Foxx,"['contemporary r&b', 'hip pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",71
Fetty Wap,"['new jersey rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",71
PnB Rock,"['melodic rap', 'rap', 'trap']",70
Isaiah Rashad,"['hip hop', 'rap', 'tennessee hip hop', 'underground hip hop']",69
Ghostemane,"['cloud rap', 'dark trap', 'florida rap']",71
iann dior,['melodic rap'],72
