name,genres,popularity
Trivecta,"['dubstep', 'melodic dubstep', 'pop edm']",53
Kasbo,"['future bass', 'pop edm', 'swedish electropop', 'vapor twitch']",54
Kill The Noise,"['brostep', 'complextro', 'edm', 'electro house', 'fidget house', 'filthstep']",55
MOTi,"['dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house']",59
Tujamo,"['dutch house', 'edm', 'electro house', 'melbourne bounce', 'pop dance', 'progressive electro house']",61
Blasterjaxx,"['big room', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'slap house']",62
Steve Angello,"['dutch house', 'edm', 'electro house', 'house', 'pop dance', 'progressive electro house', 'progressive house']",63
Martin Jensen,"['danish electronic', 'edm', 'pop dance']",62
Dzeko,"['canadian electronic', 'dutch house', 'edm', 'electro house', 'pop dance', 'pop edm', 'progressive electro house']",58
Sebastian Ingrosso,"['dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house']",61
Showtek,"['classic hardstyle', 'dutch house', 'edm', 'electro house', 'euphoric hardstyle', 'melbourne bounce', 'pop dance', 'progressive electro house']",63
Darude,"['eurodance', 'finnish edm']",60
Alison Wonderland,"['aussietronica', 'edm', 'electra', 'electronic trap', 'escape room', 'indietronica']",54
Tchami,"['bass house', 'brostep', 'edm', 'electro house', 'future house', 'house', 'pop dance', 'progressive electro house', 'progressive house']",56
Bassjackers,"['dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house']",62
Lost Sky,['gaming edm'],61
Krewella,"['edm', 'electra', 'electro house', 'pop dance']",55
ARTY,"['big room', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house', 'russian edm']",55
BEAUZ,['pop edm'],59
DROELOE,"['bass trap', 'electronic trap', 'future bass', 'pop edm', 'vapor twitch']",53
Gareth Emery,"['edm', 'pop dance', 'progressive electro house', 'progressive house', 'trance']",58
Bingo Players,"['big room', 'dutch house', 'edm', 'electro house', 'melbourne bounce', 'pop dance', 'progressive electro house', 'progressive house']",60
Jauz,"['brostep', 'edm', 'electro house']",54
Laura Brehm,"['gaming edm', 'pop edm']",57
SRTW,"['chill house', 'pop edm']",63
Ummet Ozcan,"['big room', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house']",60
Bruno Martini,"['brazilian edm', 'pop nacional']",64
MEMBA,"['indian edm', 'traprun', 'vapor twitch']",51
NURKO,"['melodic dubstep', 'pop edm']",51
Antdot,['brazilian edm'],61
NOTSOBAD,['lithuanian edm'],60
Lucas & Steve,"['dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house']",60
Tritonal,"['edm', 'electro house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'progressive trance']",53
Lost Kings,"['pop dance', 'pop edm']",51
Jason Ross,"['dubstep', 'melodic dubstep', 'pop edm', 'progressive house', 'progressive trance']",50
MKLA,['brazilian edm'],56
Purity Ring,"['canadian electropop', 'dark pop', 'edmonton indie', 'grave wave', 'indietronica', 'metropopolis', 'shimmer pop']",50
Carnage,"['dutch house', 'edm', 'electro house', 'electronic trap', 'viral trap']",52
Party Favor,"['brostep', 'edm', 'electro house', 'electronic trap']",52
RUNN,"['melodic dubstep', 'pop edm']",50
Knife Party,"['australian dance', 'brostep', 'complextro', 'edm', 'electro house', 'moombahton']",54
3LAU,"['edm', 'electro house', 'mashup', 'pop dance', 'progressive electro house', 'progressive house']",52
MitiS,"['chillstep', 'complextro', 'filthstep', 'melodic dubstep', 'pop edm']",50
DubVision,"['big room', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house']",56
Lazy Jay,['belgian edm'],55
Kiesza,"['electropop', 'pop edm']",55
TJR,"['dutch house', 'edm', 'electro house', 'melbourne bounce', 'moombahton', 'progressive electro house', 'uk garage']",55
CADE,['pop edm'],56
Unknown Brain,['gaming edm'],58
Curbi,"['dutch house', 'edm', 'electro house', 'future house', 'pop dance', 'progressive electro house']",54
MUZZ,"['brostep', 'dancefloor dnb', 'gaming edm']",53
Morgan Page,"['edm', 'electro house', 'pop dance', 'progressive house']",52
Otto Knows,"['edm', 'electro house', 'pop dance', 'progressive electro house']",58
Good Times Ahead,"['brostep', 'dutch house', 'edm', 'electro house', 'electronic trap', 'pop dance']",54
Laidback Luke,"['big room', 'dutch edm', 'dutch house', 'edm', 'electro house', 'house', 'melbourne bounce', 'pop dance', 'progressive electro house', 'progressive house']",58
Yves V,"['belgian edm', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house', 'slap house']",58
KVSH,"['brazilian edm', 'trance brasileiro']",62
Yotto,"['finnish edm', 'melodic house', 'progressive house']",55
Pegboard Nerds,"['brostep', 'complextro', 'danish electronic', 'edm', 'electro house', 'glitch', 'speedrun']",52
Fedde Le Grand,"['dutch house', 'edm', 'electro house', 'house', 'pop dance', 'progressive electro house', 'progressive house']",59
Valentino Khan,"['brostep', 'edm', 'electro house', 'electronic trap', 'moombahton']",52
Netsky,"['belgian edm', 'dancefloor dnb', 'drum and bass']",59
Zomboy,"['brostep', 'edm', 'glitch']",50
Jim Yosef,['gaming edm'],55
MOGUAI,"['dutch house', 'edm', 'electro house', 'german techno', 'progressive electro house', 'progressive house']",57
Captain Cuts,['pop edm'],51
Karra,"['la pop', 'pop edm']",54
MKJ,"['covertronica', 'finnish edm']",56
Brooks,"['dutch house', 'edm', 'electro house', 'future house', 'pop dance', 'progressive electro house']",56
Rootkit,"['chillstep', 'complextro', 'electro house', 'gaming edm', 'melodic dubstep']",49
Ilkay Sencan,"['turkish deep house', 'turkish edm']",59
Mahmut Orhan,"['turkish deep house', 'turkish edm']",60
Borgeous,"['dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house']",55
ARMNHMR,"['melodic dubstep', 'pop edm']",47
Sevenn,['brazilian edm'],57
Syn Cole,"['deep tropical house', 'edm', 'pop dance', 'pop edm', 'progressive electro house', 'tropical house']",54
Noisestorm,"['dancefloor dnb', 'gaming edm', 'speedrun']",51
Retrofile,['edmonton indie'],51
Gaullin,"['lithuanian edm', 'lithuanian electronic']",57
Tristam,"['brostep', 'complextro', 'dancefloor dnb', 'edm', 'filthstep', 'gaming edm']",51
NERVO,"['australian dance', 'dutch house', 'edm', 'electra', 'electro house', 'house', 'pop dance', 'progressive electro house', 'progressive house']",54
Slow Motion,"['brazilian edm', 'relaxative']",58
NEEDY GIRL OVERDOSE,['kawaii edm'],53
Ian Storm,['dutch edm'],60
Autograf,"['deep tropical house', 'pop edm', 'vapor soul', 'vapor twitch']",49
Matisse & Sadko,"['dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house', 'russian edm', 'sky room']",53
Mike Williams,"['big room', 'dutch house', 'edm', 'electro house', 'future house', 'pop dance', 'progressive electro house']",56
CID,"['bass house', 'deep groove house', 'dutch house', 'edm', 'electro house', 'house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'tech house', 'uk dance']",50
Quintino,"['dutch edm', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'slap house']",55
Fairlane,"['melodic dubstep', 'pop edm']",48
MAKJ,"['dutch house', 'edm', 'electro house', 'melbourne bounce', 'pop dance', 'progressive electro house', 'sky room']",53
JOYRYDE,"['bass house', 'brostep', 'edm', 'electro house', 'electronic trap']",49
Steve Void,"['pop edm', 'slap house']",55
Umur Anil Gokdag,['turkish edm'],61
Silk City,"['edm', 'uk dance']",53
Arem Ozguc,['turkish edm'],61
Ookay,"['brostep', 'dubstep', 'edm', 'electro house', 'electronic trap']",47
Arman Aydin,['turkish edm'],61
EDX,"['dutch house', 'edm', 'electro house', 'house', 'pop dance', 'progressive electro house', 'progressive house', 'swiss pop']",53
Feenixpawl,"['australian dance', 'pop edm', 'progressive electro house', 'sky room']",51
Coone,"['belgian edm', 'classic hardstyle', 'euphoric hardstyle', 'jumpstyle']",58
Zerky,['brazilian edm'],49
Cat Dealers,['brazilian edm'],58
Borgore,"['brostep', 'classic dubstep', 'dubstep', 'edm', 'electro house']",49
Firebeatz,"['dutch edm', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house']",53
Conro,"['canadian electronic', 'future bass', 'pop edm']",48
Whisnu Santika,['indonesian edm'],62
