name,genres,popularity
Taproot,"['alternative metal', 'industrial metal', 'nu metal', 'post-grunge']",45
Gemini Syndrome,"['gymcore', 'post-grunge']",45
Otherwise,"['gymcore', 'post-grunge']",47
Red Sun Rising,"['modern hard rock', 'post-grunge']",45
12 Stones,"['alternative metal', 'christian hard rock', 'christian rock', 'nu metal', 'post-grunge']",47
The Veer Union,"['gymcore', 'post-grunge']",46
Adema,"['alternative metal', 'industrial metal', 'nu metal', 'post-grunge', 'rap metal']",45
trauma ray,"['american shoegaze', 'doomgaze', 'fort worth indie', 'grungegaze', 'nu gaze', 'texasgaze', 'zoomergaze']",44
Ra,"['alternative metal', 'nu metal', 'post-grunge']",43
Jerry Cantrell,"['alternative metal', 'grunge', 'post-grunge']",46
Nothing,"['american shoegaze', 'dreamgaze', 'dreamo', 'grungegaze', 'nu gaze', 'pennsylvania shoegaze', 'philly indie', 'shoegaze']",44
Screaming Trees,"['alternative rock', 'grunge']",45
Sponge,"['grunge', 'post-grunge']",42
Art Of Dying,"['alternative metal', 'christian rock', 'gymcore', 'post-grunge']",46
Like A Storm,"['gymcore', 'post-grunge']",44
Mudhoney,"['alternative rock', 'grunge', 'punk']",45
Cathedral Bells,"['american shoegaze', 'chill dream pop', 'grungegaze', 'nu gaze']",44
Mother Love Bone,"['alternative rock', 'funk metal', 'grunge']",43
Through Fire,"['gymcore', 'post-grunge']",44
Porno for Pyros,"['alternative rock', 'funk metal', 'post-grunge']",42
The Flys,['post-grunge'],39
Soul Blind,"['american shoegaze', 'dreamo', 'grungegaze']",40
Blessid Union Of Souls,"['cowpunk', 'pop rock', 'post-grunge']",40
The Jesus Lizard,"['alternative rock', 'experimental rock', 'grunge', 'noise rock', 'post-hardcore']",42
Devour the Day,"['gymcore', 'post-grunge']",40
Gleemer,"['5th wave emo', 'american shoegaze', 'dreamo', 'grungegaze']",40
Wipers,"['alternative rock', 'grunge', 'hardcore punk', 'no wave', 'portland punk', 'post-hardcore', 'post-punk', 'punk']",41
The Exies,['post-grunge'],41
all under heaven,"['grungegaze', 'zoomergaze']",39
Leaving Time,['grungegaze'],40
Oleander,"['post-grunge', 'sacramento indie']",38
Grey Daze,['post-grunge'],45
Babes In Toyland ,"['grunge', 'minneapolis punk', 'riot grrrl']",40
Teenage Wrist,"['dreamo', 'grungegaze', 'modern alternative rock', 'post-grunge']",40
Keep,"['american shoegaze', 'grungegaze', 'virginia indie']",38
Hurt,['post-grunge'],38
Submersed,"['hard alternative', 'post-grunge']",40
Life On Venus,"['dreamgaze', 'grungegaze', 'nu gaze', 'russian shoegaze']",39
Revis,['post-grunge'],37
Hundredth,"['dreamo', 'grungegaze', 'melodic hardcore', 'screamocore']",38
Deepfield,"['gymcore', 'hard alternative', 'post-grunge']",38
Cavo,['post-grunge'],36
Catherine Wheel,"['dream pop', 'grungegaze', 'nu gaze', 'shoegaze', 'spacegrunge']",36
Hotline TNT,"['brooklyn indie', 'grungegaze', 'new york shoegaze', 'slacker rock']",35
Greet Death,"['countrygaze', 'diy emo', 'dreamo', 'grungegaze']",34
Bathe Alone,"['dreamgaze', 'grungegaze']",38
Holy Fawn,"['american post-rock', 'doomgaze', 'grungegaze']",36
Blanket,['grungegaze'],34
Slow Crush,"['belgian indie rock', 'belgian post-rock', 'dreamo', 'grungegaze', 'nu gaze', 'shoegaze']",35
32 Leaves,"['hard alternative', 'post-grunge']",34
Aranda,"['hard alternative', 'post-grunge']",36
Pity Sex,"['alternative emo', 'ann arbor indie', 'bubblegrunge', 'dreamo', 'emo', 'grungegaze', 'indie punk', 'shoegaze']",32
Institute,['grunge pop'],34
Tomahawk,"['grunge', 'industrial rock']",36
Swervedriver,"['grungegaze', 'nu gaze', 'shoegaze', 'spacegrunge']",33
Lunachicks,"['riot grrrl', 'underground grunge']",33
GRAZER,"['chill dream pop', 'grungegaze']",34
ASkySoBlack,['grungegaze'],30
NVM,['grungegaze'],31
Dark new Day,"['hard alternative', 'post-grunge']",31
The Gits,"['chicano punk', 'oi', 'riot grrrl', 'underground grunge']",31
Fangclub,"['english indie rock', 'grunge revival', 'irish indie rock', 'modern alternative rock', 'post-grunge']",32
Black Lab,['grunge pop'],35
Scott Weiland,"['grunge', 'post-grunge']",32
Seaweed,['underground grunge'],31
Tad,['grunge'],31
Downward,"['diy emo', 'grungegaze', 'tulsa indie']",29
Green River,['grunge'],31
Day Aches,['grungegaze'],29
Jet Black Stare,"['hard alternative', 'post-grunge']",31
Marvelous 3,['grunge pop'],27
Cloakroom,"['american shoegaze', 'countrygaze', 'dreamo', 'grungegaze', 'nu gaze', 'spacegrunge']",27
The Nixons,['post-grunge'],29
Matt Cameron,"['grunge', 'rock drums']",31
Superbloom,['grungegaze'],30
Heavenward,['grungegaze'],29
Edgewater,"['hard alternative', 'post-grunge']",28
7 Year Bitch,"['riot grrrl', 'underground grunge']",29
Paw,"['grunge', 'underground grunge']",29
Brad,['grunge'],31
Strata,['grunge pop'],27
Splender,['grunge pop'],33
Iress,"['doomgaze', 'grungegaze']",29
Tabitha's Secret,['grunge pop'],27
Ridgeway,"['american shoegaze', 'dreamo', 'grungegaze']",26
