name,genres,popularity
Boosie Badazz,"['baton rouge rap', 'dirty south rap', 'memphis hip hop', 'southern hip hop', 'trap']",65
Erykah Badu,"['afrofuturism', 'alternative r&b', 'neo soul', 'r&b']",69
Lyanno,"['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino']",75
Blood Orange,"['alternative r&b', 'art pop', 'escape room', 'indie soul', 'indietronica', 'metropopolis']",69
Ruth B.,"['alt z', 'canadian contemporary r&b', 'canadian pop', 'pop']",74
Dalex,"['r&b en espanol', 'reggaeton', 'trap latino', 'urbano latino']",76
SiR,"['alternative r&b', 'la pop']",67
Jorja Smith,"['r&b', 'uk contemporary r&b']",74
Orion Sun,"['alternative r&b', 'bedroom pop']",67
Eric Clapton,"['album rock', 'blues rock', 'classic rock', 'electric blues', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']",73
Kanii,"['bedroom r&b', 'krushclub', 'sped up']",68
Yusuf / Cat Stevens,"['british folk', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock']",71
Dave Matthews Band,"['jam band', 'neo mellow', 'pop rock']",64
Majid Jordan,"['canadian contemporary r&b', 'canadian hip hop']",68
Kate Bush,"['art pop', 'art rock', 'baroque pop', 'new wave pop', 'permanent wave', 'piano rock', 'singer-songwriter']",72
Keri Hilson,"['dance pop', 'hip pop', 'r&b', 'urban contemporary']",71
YUNGBLUD,"['british indie rock', 'modern rock', 'pov: indie', 'rock']",71
Westside Gunn,"['alternative hip hop', 'boom bap', 'buffalo hip hop', 'drumless hip hop', 'hip hop', 'upstate ny rap']",67
Bryant Barnes,['bedroom r&b'],69
Lake Street Dive,"['boston rock', 'indie folk', 'new americana']",65
Mariah the Scientist,['alternative r&b'],66
Allman Brothers Band,"['album rock', 'blues rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'jam band', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock', 'southern rock']",64
Canserbero,"['boom bap espanol', 'rap conciencia', 'rap politico', 'trap latino', 'urbano latino', 'venezuelan hip hop']",76
Brandy,"['contemporary r&b', 'dance pop', 'hip pop', 'r&b', 'urban contemporary']",69
DeJ Loaf,"['detroit hip hop', 'r&b', 'trap', 'trap queen']",67
Muni Long,['indie r&b'],69
Watchhouse,"['new americana', 'north carolina roots', 'progressive bluegrass', 'stomp and holler']",64
Greta Van Fleet,"['modern blues rock', 'modern hard rock', 'rock']",67
GIMS,"['french hip hop', 'pop urbaine', 'r&b francais', 'rap conscient']",80
Yseult,"['french pop', 'r&b francais']",76
Mario,"['dance pop', 'r&b', 'southern hip hop', 'urban contemporary']",69
Tego Calderón,"['latin hip hop', 'rap boricua', 'reggaeton', 'trap latino', 'urbano latino']",72
The Who,"['album rock', 'british invasion', 'classic rock', 'hard rock', 'rock']",68
Normani,"['pop', 'r&b']",69
Chris Grey,['dark r&b'],71
GoldLink,['alternative r&b'],66
Neil Diamond,"['adult standards', 'brill building pop', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock', 'yacht rock']",69
Amaarae,"['afro r&b', 'afrobeats', 'alternative r&b', 'ghanaian alternative', 'ghanaian pop']",69
Pepe Aguilar,"['banda', 'latin talent show', 'mariachi', 'musica mexicana', 'ranchera']",72
Leon Thomas,['indie r&b'],65
Syleena Johnson,"['contemporary r&b', 'neo soul', 'r&b', 'urban contemporary']",67
Charlie Wilson,"['contemporary r&b', 'r&b', 'urban contemporary']",66
Fat Joe,"['bronx hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",69
Ginuwine,"['contemporary r&b', 'hip pop', 'r&b', 'urban contemporary']",67
Lucky Daye,"['alternative r&b', 'r&b']",66
Dimitri Vegas & Like Mike,"['belgian dance', 'belgian edm', 'big room', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house']",75
VOILÀ,"['dark r&b', 'la pop', 'singer-songwriter pop']",67
Riovaz,['bedroom r&b'],64
Jessie Reyez,"['canadian contemporary r&b', 'canadian pop']",68
The-Dream,"['dirty south rap', 'hip pop', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",65
