name,genres,popularity
Matchbox Twenty,"['neo mellow', 'pop rock', 'post-grunge']",69
Father John Misty,"['art pop', 'chamber pop', 'indie rock', 'singer-songwriter', 'stomp and holler']",71
The Doobie Brothers,"['album rock', 'classic rock', 'country rock', 'folk rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock', 'yacht rock']",69
Stone Temple Pilots,"['alternative metal', 'alternative rock', 'classic rock', 'grunge', 'hard rock', 'nu metal', 'post-grunge', 'rock']",69
America,"['album rock', 'classic rock', 'folk rock', 'mellow gold', 'soft rock']",71
Rage Against The Machine,"['alternative metal', 'alternative rock', 'conscious hip hop', 'funk metal', 'hard rock', 'nu metal', 'political hip hop', 'post-grunge', 'rap metal', 'rap rock', 'rock']",72
Steely Dan,"['album rock', 'classic rock', 'country rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",68
Bryan Adams,"['canadian pop', 'canadian singer-songwriter', 'classic canadian rock', 'heartland rock', 'mellow gold', 'soft rock']",77
Talking Heads,"['alternative rock', 'art punk', 'dance rock', 'funk rock', 'new wave', 'permanent wave', 'post-punk', 'rock', 'zolo']",71
The All-American Rejects,"['alternative metal', 'modern rock', 'neo mellow', 'neon pop punk', 'pop punk', 'pop rock', 'post-grunge']",68
Soundgarden,"['alternative metal', 'alternative rock', 'classic rock', 'grunge', 'hard rock', 'nu metal', 'rock']",70
Dustin Lynch,"['contemporary country', 'country', 'country road', 'modern country rock']",68
Alabama,"['contemporary country', 'country', 'country road', 'country rock']",67
Santana,"['blues rock', 'classic rock', 'mexican classic rock']",72
TobyMac,"['ccm', 'christian alternative rock', 'christian hip hop', 'christian music']",68
Depeche Mode,"['dance rock', 'new romantic', 'new wave', 'permanent wave', 'rock', 'synthpop']",75
Paul McCartney,"['classic rock', 'mellow gold', 'rock', 'soft rock']",73
Foreigner,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'mellow gold', 'rock', 'soft rock']",72
R.E.M.,"['alternative rock', 'athens indie', 'permanent wave', 'rock']",75
Insane Clown Posse,['rap rock'],67
Marilyn Manson,"['alternative metal', 'hard rock', 'industrial', 'industrial metal', 'industrial rock', 'nu metal', 'post-grunge', 'rock']",72
X Ambassadors,"['modern alternative rock', 'modern rock', 'stomp pop']",72
Jimi Hendrix,"['acid rock', 'album rock', 'alternative rock', 'classic rock', 'hard rock', 'proto-metal', 'psychedelic rock', 'rock']",70
Dire Straits,"['album rock', 'classic rock', 'mellow gold', 'rock']",78
Hollywood Undead,"['alternative metal', 'modern rock', 'post-grunge', 'rap metal', 'rap rock']",69
Jimmy Eat World,"['alternative metal', 'alternative rock', 'emo', 'modern power pop', 'modern rock', 'neon pop punk', 'pop punk', 'pop rock', 'post-grunge', 'punk', 'rock']",69
Pixies,"['alternative rock', 'boston rock', 'permanent wave', 'rock']",72
Jesús Adrián Romero,"['latin christian', 'rock cristiano']",75
Cody Jinks,"['classic texas country', 'modern southern rock', 'outlaw country']",65
The Clash,"['alternative rock', 'permanent wave', 'punk', 'rock']",72
Chris Tomlin,"['ccm', 'christian alternative rock', 'christian music']",68
KISS,"['glam rock', 'hard rock', 'rock']",73
Dirty Heads,"['reggae fusion', 'reggae rock']",66
Cole Swindell,"['contemporary country', 'country', 'country road', 'modern country rock']",66
James Taylor,"['classic rock', 'folk', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock']",68
Chevelle,"['alternative metal', 'christian rock', 'nu metal', 'post-grunge']",66
Juanes,"['colombian pop', 'latin pop', 'mexican pop', 'rock en espanol']",77
Rod Stewart,"['mellow gold', 'soft rock']",74
George Michael,"['new wave pop', 'soft rock']",74
Sufjan Stevens,"['art pop', 'baroque pop', 'chamber pop', 'indie pop', 'indie rock', 'singer-songwriter']",72
John Denver,"['classic country pop', 'folk', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock']",70
Phil Wickham,"['ccm', 'christian alternative rock', 'christian indie', 'christian music']",67
Counting Crows,"['neo mellow', 'pop rock', 'post-grunge', 'rock']",70
Bleachers,"['indie pop', 'modern rock', 'pov: indie']",69
WALK THE MOON,"['dance rock', 'modern alternative rock', 'modern rock', 'neo mellow', 'pop rock']",72
Lenny Kravitz,"['permanent wave', 'rock']",73
Third Eye Blind,"['alternative metal', 'alternative rock', 'pop rock', 'post-grunge']",66
No Doubt,"['dance pop', 'dance rock', 'permanent wave', 'pop rock', 'rock']",70
Vampire Weekend,"['baroque pop', 'chamber pop', 'garage rock', 'indie rock', 'indietronica', 'modern rock']",68
Mitchell Tenpenny,"['contemporary country', 'country road', 'heartland rock', 'modern country rock']",66
for KING & COUNTRY,"['ccm', 'christian alternative rock', 'christian indie', 'christian music', 'world worship']",66
Dido,"['dance pop', 'europop', 'lilith', 'neo mellow', 'pop rock']",76
Julieta Venegas,"['cantautora mexicana', 'latin alternative', 'latin pop', 'latin rock', 'rock en espanol']",77
Milky Chance,"['german pop', 'modern rock']",74
Nine Inch Nails,"['alternative metal', 'alternative rock', 'cyberpunk', 'electronic rock', 'grunge', 'industrial', 'industrial metal', 'industrial rock', 'nu metal', 'post-grunge', 'rock']",68
Fitz and The Tantrums,"['la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'pov: indie']",68
The Cars,"['album rock', 'classic rock', 'hard rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'power pop', 'rock', 'singer-songwriter', 'soft rock', 'synthpop']",68
Natalia Lafourcade,"['cantautora mexicana', 'latin alternative', 'latin pop', 'mexican pop', 'rock en espanol', 'veracruz indie']",74
Queens of the Stone Age,"['alternative metal', 'alternative rock', 'grunge', 'modern rock', 'palm desert scene', 'rock', 'stoner metal', 'stoner rock']",71
Megadeth,"['alternative metal', 'hard rock', 'melodic thrash', 'metal', 'old school thrash', 'rock', 'speed metal', 'thrash metal']",71
Eric Clapton,"['album rock', 'blues rock', 'classic rock', 'electric blues', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']",73
Neil Young,"['canadian singer-songwriter', 'classic canadian rock', 'classic rock', 'folk rock', 'mellow gold', 'permanent wave', 'rock', 'roots rock', 'singer-songwriter']",70
The Mamas & The Papas,"['classic rock', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'soft rock', 'sunshine pop']",70
Billy Idol,"['album rock', 'classic rock', 'dance rock', 'hard rock', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock']",71
Cyndi Lauper,"['dance pop', 'new wave pop', 'permanent wave', 'soft rock']",73
Paul Simon,"['classic rock', 'folk', 'folk rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter', 'soft rock']",69
Yusuf / Cat Stevens,"['british folk', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock']",71
Dave Matthews Band,"['jam band', 'neo mellow', 'pop rock']",64
The Cardigans,"['lilith', 'new wave pop', 'permanent wave', 'pop rock', 'swedish pop']",70
Heart,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'mellow gold', 'new wave pop', 'rock', 'singer-songwriter', 'soft rock']",69
Chicago,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",71
Kate Bush,"['art pop', 'art rock', 'baroque pop', 'new wave pop', 'permanent wave', 'piano rock', 'singer-songwriter']",72
Slightly Stoopid,"['reggae fusion', 'reggae rock']",64
YUNGBLUD,"['british indie rock', 'modern rock', 'pov: indie', 'rock']",71
Duran Duran,"['album rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock', 'synthpop']",71
Iron Maiden,"['alternative metal', 'hard rock', 'metal', 'nwobhm', 'rock']",74
Two Door Cinema Club,"['indie rock', 'indietronica', 'irish rock', 'modern alternative rock', 'modern rock', 'northern irish indie']",70
Sheryl Crow,"['lilith', 'new wave pop', 'permanent wave', 'pop rock', 'singer-songwriter']",68
Elliott Smith,"['alternative rock', 'indie rock', 'melancholia', 'singer-songwriter']",67
Audioslave,"['alternative metal', 'alternative rock', 'grunge', 'hard rock', 'nu metal', 'permanent wave', 'post-grunge', 'rock', 'supergroup']",70
Scorpions,"['album rock', 'german hard rock', 'german metal', 'german rock', 'hard rock', 'rock']",74
Sixpence None The Richer,"['lilith', 'pop rock']",70
Travis Barker,['rap rock'],68
Fiona Apple,"['art pop', 'chamber pop', 'dark pop', 'lilith', 'permanent wave', 'piano rock', 'singer-songwriter']",67
Lake Street Dive,"['boston rock', 'indie folk', 'new americana']",65
KALEO,"['icelandic indie', 'icelandic rock', 'modern alternative rock']",72
Allman Brothers Band,"['album rock', 'blues rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'jam band', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock', 'southern rock']",64
Young the Giant,"['indietronica', 'modern alternative rock', 'modern rock', 'pov: indie', 'stomp and holler']",67
Keane,"['neo mellow', 'piano rock', 'pop rock']",75
Boston,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'mellow gold', 'rock', 'soft rock']",67
NEEDTOBREATHE,"['ccm', 'christian alternative rock', 'christian indie', 'christian music', 'folk-pop']",64
Rush,"['album rock', 'canadian metal', 'classic canadian rock', 'classic rock', 'hard rock', 'progressive rock', 'rock']",66
Casting Crowns,"['ccm', 'christian alternative rock', 'christian music']",66
Thirty Seconds To Mars,"['modern rock', 'post-grunge']",70
alt-J,"['indie rock', 'indietronica', 'modern alternative rock', 'modern rock', 'rock', 'shimmer pop']",71
Mrs. GREEN APPLE,"['anime rock', 'j-pop', 'j-rock']",81
Modest Mouse,"['alternative rock', 'chamber pop', 'indie rock', 'indietronica', 'modern rock', 'washington indie']",64
John Mellencamp,"['album rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']",66
Annie Lennox,"['new romantic', 'new wave', 'new wave pop', 'singer-songwriter', 'soft rock', 'synthpop']",72
Stevie Nicks,['heartland rock'],67
Tauren Wells,"['ccm', 'christian alternative rock', 'christian music']",65
Beck,"['alternative rock', 'anti-folk', 'permanent wave', 'rock', 'slacker rock']",67
Of Monsters and Men,"['folk-pop', 'metropopolis', 'modern rock', 'stomp and holler']",69
Greta Van Fleet,"['modern blues rock', 'modern hard rock', 'rock']",67
Neon Trees,"['modern rock', 'neo mellow', 'pop rock', 'pov: indie']",66
Kris Kristofferson,"['country', 'country rock', 'outlaw country', 'singer-songwriter']",68
Daughtry,"['alternative metal', 'neo mellow', 'pop rock', 'post-grunge']",66
311,"['alternative metal', 'alternative rock', 'funk metal', 'funk rock', 'nu metal', 'pop rock', 'rap rock', 'reggae fusion']",63
The Who,"['album rock', 'british invasion', 'classic rock', 'hard rock', 'rock']",68
Blondie,"['candy pop', 'new wave pop', 'permanent wave', 'power pop', 'rock', 'synthpop']",71
Franz Ferdinand,"['alternative rock', 'dance rock', 'indie rock', 'modern rock', 'rock', 'scottish rock']",70
BØRNS,"['indie poptimism', 'modern alternative rock', 'modern rock', 'pov: indie']",67
MercyMe,"['ccm', 'christian alternative rock', 'christian indie', 'christian music']",64
Kenny Rogers,"['classic country pop', 'country', 'nashville sound', 'soft rock']",71
Neil Diamond,"['adult standards', 'brill building pop', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock', 'yacht rock']",69
